"","FECHA","HORA","PM25","CO","T","HR","DV","VV"
"22801","01-01-2011",100,9,0.5,16.18,77.67,214.9,1.989
"22802","01-01-2011",200,7,0.4,15.31,81.17,214.3,2.077
"22803","01-01-2011",300,7,0.3,14.63,84,214.7,2.578
"22804","01-01-2011",400,8,0.3,13.88,87.75,220.9,2.53
"22805","01-01-2011",500,10,0.3,13.37,90.58,214.8,1.918
"22806","01-01-2011",600,12,0.3,13.88,88.92,220,1.518
"22807","01-01-2011",700,16,0.3,15.72,80.83,226.5,1.648
"22808","01-01-2011",800,13,0.3,17.41,74.5,228.4,2.4
"22809","01-01-2011",900,19,0.3,19.88,65.92,225,2.505
"22810","01-01-2011",1000,40,0.5,22.77,57.08,224.2,2.525
"22811","01-01-2011",1100,34,0.4,25.44,49.17,216.7,3.006
"22812","01-01-2011",1200,26,0.4,27.05,43.67,211.5,4.854
"22813","01-01-2011",1300,15,0.3,27.87,38.25,224.8,6.306
"22814","01-01-2011",1400,17,0.3,28.88,34,222.5,5.936
"22815","01-01-2011",1500,22,0.3,28.67,37,226,6.75
"22816","01-01-2011",1600,19,0.3,27.57,40.83,224.2,6.317
"22817","01-01-2011",1700,21,0.3,26.07,44.58,217.6,6.604
"22818","01-01-2011",1800,20,0.3,25.12,56.33,213.6,5.498
"22819","01-01-2011",1900,23,0.3,23.06,51.33,220.7,6.106
"22820","01-01-2011",2000,20,0.3,20.22,60.75,216.4,5.287
"22821","01-01-2011",2100,18,0.3,18.6,67.17,185.4,2.103
"22822","01-01-2011",2200,12,0.3,17.86,68.58,220.2,2.604
"22823","01-01-2011",2300,12,0.3,17.62,67.83,223.3,2.058
"22824","01-01-2011",0,11,0.4,16.85,71,214.4,1.581
"22825","02-01-2011",100,12,0.7,16.33,74.42,223.4,1.321
"22826","02-01-2011",200,12,0.6,15.62,77.5,228.6,1.576
"22827","02-01-2011",300,9,0.2,14.7,79.42,216.4,1.582
"22828","02-01-2011",400,10,0.3,14.47,80.5,211.4,1.708
"22829","02-01-2011",500,11,0.2,14.02,83.08,204.3,2.226
"22830","02-01-2011",600,12,0.3,13.98,81,217.4,1.978
"22831","02-01-2011",700,11,0.2,14.55,81.92,200.4,2.587
"22832","02-01-2011",800,11,0.2,16.58,74.5,218.7,3.892
"22833","02-01-2011",900,12,0.2,17.84,68.83,219.9,4.313
"22834","02-01-2011",1000,15,0.2,20.36,58.92,194.2,3.014
"22835","02-01-2011",1100,15,0.2,22.18,53.25,218,3.546
"22836","02-01-2011",1200,14,0.2,23.37,47.42,219.9,4.078
"22837","02-01-2011",1300,15,0.2,24.34,45.58,224.2,4.907
"22838","02-01-2011",1400,14,0.2,24.95,42.92,221.8,5.594
"22839","02-01-2011",1500,15,0.2,25.17,42.42,227.3,5.798
"22840","02-01-2011",1600,15,0.2,24.3,45.5,229.1,6.375
"22841","02-01-2011",1700,18,0.2,22.97,49.17,224.8,6.66
"22842","02-01-2011",1800,15,0.2,21.86,51.83,226.6,5.865
"22843","02-01-2011",1900,15,0.2,20.65,56.08,222,5.214
"22844","02-01-2011",2000,14,0.3,19.47,60.5,217.7,4.152
"22845","02-01-2011",2100,13,0.3,18.21,65.58,200.1,2.667
"22846","02-01-2011",2200,10,0.4,17.02,69.75,212.5,2.798
"22847","02-01-2011",2300,9,0.3,16.07,72.5,213.8,2.685
"22848","02-01-2011",0,8,0.3,15.54,74.58,218.3,2.299
"22849","03-01-2011",100,7,0.2,15,76.58,221.5,2.262
"22850","03-01-2011",200,7,0.2,14.76,77.55,211.6,1.407
"22851","03-01-2011",300,9,0.2,14.42,78.58,221.7,1.546
"22852","03-01-2011",400,9,0.2,14.38,77.25,189.6,1.475
"22853","03-01-2011",500,9,0.3,14.43,75.67,192,1.169
"22854","03-01-2011",600,18,0.5,15.39,72.42,172.8,0.1965
"22855","03-01-2011",700,22,0.5,17.1,66.08,246.5,0.71
"22856","03-01-2011",800,19,0.4,19.34,57.92,339.1,0.6377
"22857","03-01-2011",900,20,0.3,20.98,52.67,302.9,0.9349
