"","FECHA","HORA","PM25","CO","T","HR","DV","VV"
"22801","01-01-2011",100,15,0.9,15.16,74.83,188.8,0.7597
"22802","01-01-2011",200,15,0.6,14.03,78.25,183.3,1.283
"22803","01-01-2011",300,12,0.5,13.24,81.33,180.9,1.202
"22804","01-01-2011",400,10,0.4,12.58,83.5,201.5,1.386
"22805","01-01-2011",500,9,0.4,11.87,86.17,192.2,1.121
"22806","01-01-2011",600,10,0.3,12.8,83.17,201.3,1.13
"22807","01-01-2011",700,12,0.3,15.29,74.58,212.4,1.186
"22808","01-01-2011",800,14,0.3,17.12,69.08,220.7,1.627
"22809","01-01-2011",900,19,0.3,19.94,60.92,220.7,1.862
"22810","01-01-2011",1000,24,0.3,22.77,53.92,219.9,1.991
"22811","01-01-2011",1100,27,0.3,25.42,47.17,208.8,2.74
"22812","01-01-2011",1200,15,0.3,27.17,41.67,215.9,4.044
"22813","01-01-2011",1300,10,0.3,28.32,34.5,216.6,4.96
"22814","01-01-2011",1400,11,0.2,29.27,31.17,215.7,4.727
"22815","01-01-2011",1500,15,0.2,28.8,38.33,222.5,4.742
"22816","01-01-2011",1600,12,0.2,27.66,41.33,207.1,4.747
"22817","01-01-2011",1700,12,0.2,25.99,45.17,205.3,4.394
"22818","01-01-2011",1800,13,0.2,24.15,48.25,200.3,4.256
"22819","01-01-2011",1900,15,0.2,21.6,54.83,210.5,4.217
"22820","01-01-2011",2000,17,0.3,18.85,62.5,207,3.692
"22821","01-01-2011",2100,11,0.3,17.38,66.25,159.2,2.64
"22822","01-01-2011",2200,11,0.3,16.32,69.67,186.3,2.185
"22823","01-01-2011",2300,10,0.4,15.78,70.17,212.7,1.336
"22824","01-01-2011",0,9,0.3,15.02,72.08,177.2,1.312
"22825","02-01-2011",100,9,0.2,14.48,74.58,190.7,0.8424
"22826","02-01-2011",200,9,0.2,13.97,77.17,206.1,1.266
"22827","02-01-2011",300,7,0.2,13.24,77.75,201.4,1.185
"22828","02-01-2011",400,9,0.2,12.75,78.83,192,1.13
"22829","02-01-2011",500,5,0.1,12.62,80.67,194.5,1.386
"22830","02-01-2011",600,12,0.2,12.77,81.08,195.7,1.09
"22831","02-01-2011",700,22,0.2,14.12,75.58,189.6,1.887
"22832","02-01-2011",800,5,0.1,15.61,70.83,209.6,3.078
"22833","02-01-2011",900,20,0.1,17.01,65.75,205,3.31
"22834","02-01-2011",1000,13,0.1,20.13,56.25,191.6,2.611
"22835","02-01-2011",1100,10,0.2,21.85,52.17,210.1,3.1
"22836","02-01-2011",1200,11,0.1,23.73,46.42,197.6,3.047
"22837","02-01-2011",1300,10,0.2,24.82,44.5,216.7,3.775
"22838","02-01-2011",1400,11,0.1,25.46,42.17,214.6,4.403
"22839","02-01-2011",1500,12,0.2,25.27,42.75,219.1,4.894
"22840","02-01-2011",1600,10,0.2,24.4,45.08,220.3,4.888
"22841","02-01-2011",1700,11,0.1,22.97,48.58,217.9,4.794
"22842","02-01-2011",1800,10,0.2,21.56,51.58,213.9,4.06
"22843","02-01-2011",1900,11,0.2,19.56,56.75,208,3.523
"22844","02-01-2011",2000,9,0.2,17.86,61.5,200.2,3.031
"22845","02-01-2011",2100,8,0.2,16.63,65,191,2.663
"22846","02-01-2011",2200,3,0.2,15.38,68.42,193.8,2.457
"22847","02-01-2011",2300,6,0.2,14.36,71.67,192.7,2.312
"22848","02-01-2011",0,15,0.1,13.73,73.75,192.8,2.021
"22849","03-01-2011",100,5,0.1,13.15,75.5,195.2,2.039
"22850","03-01-2011",200,5,0.1,12.71,76.83,192.3,1.545
"22851","03-01-2011",300,8,0.1,12.43,60.58,194.9,1.195
"22852","03-01-2011",400,8,0.1,12.12,78,163.8,0.9041
"22853","03-01-2011",500,8,0.2,11.96,74,175.9,0.492
"22854","03-01-2011",600,7,0.2,13.77,70.67,209.4,0.3533
"22855","03-01-2011",700,13,0.2,15.85,63.5,250.5,0.9306
"22856","03-01-2011",800,12,0.2,18.46,56.33,340.1,0.6038
"22857","03-01-2011",900,16,0.2,19.82,53,216.2,1.168
"22858","03-01-2011",1000,13,0.2,22.5,46.75,233.7,0.7527
"22859","03-01-2011",1100,22,0.2,24.22,43.5,230.6,1.748
"22860","03-01-2011",1200,7,0.2,26.07,39.58,217,2.235
"22861","03-01-2011",1300,13,0.2,27.26,37.42,210.3,3.188
"22862","03-01-2011",1400,11,0.2,27.14,37.83,231,4.75
"22863","03-01-2011",1500,20,0.2,26.7,37.92,221,5.159
"22864","03-01-2011",1600,9,0.2,25.92,38.33,229.9,5.32
"22865","03-01-2011",1700,6,0.2,24.59,40.33,224.2,4.894
"22866","03-01-2011",1800,10,0.2,23.11,43.67,211.3,4.475
"22867","03-01-2011",1900,14,0.2,20.12,50.67,205.1,4.476
"22868","03-01-2011",2000,10,0.2,17.17,59,195.6,4.194
"22869","03-01-2011",2100,9,0.2,16.01,63.17,176.8,2.658
"22870","03-01-2011",2200,7,0.2,15.39,65.67,186.3,2.266
"22871","03-01-2011",2300,6,0.1,14.48,69.08,200.5,2.375
"22872","03-01-2011",0,17,0.1,13.61,73.42,189.9,1.885
"22873","04-01-2011",100,2,0.1,12.96,73.67,165.6,1.771
"22874","04-01-2011",200,4,0.1,13.25,72.08,167.2,1.899
"22875","04-01-2011",300,8,0.1,13.65,68.58,214.1,1.698
"22876","04-01-2011",400,3,0.1,13.47,69.33,202,1.84
"22877","04-01-2011",500,6,0.1,13.47,66.08,173.7,1.545
"22878","04-01-2011",600,17,0.2,13.65,65.08,163.8,1.492
"22879","04-01-2011",700,7,0.2,14.7,62.25,246.1,0.2979
"22880","04-01-2011",800,10,0.2,16.02,58.83,299.6,0.7512
"22881","04-01-2011",900,9,0.2,18.06,53.67,317.9,0.4738
"22882","04-01-2011",1000,8,0.2,19.36,49.25,185.2,0.9341
"22883","04-01-2011",1100,4,0.2,22.62,40.08,156.8,1.541
"22884","04-01-2011",1200,6,0.2,23.32,38.08,212.2,2.523
"22885","04-01-2011",1300,16,0.1,23.83,35.75,238.9,2.998
"22886","04-01-2011",1400,4,0.1,24.37,34.08,218.9,3.083
"22887","04-01-2011",1500,1,0.1,24.8,33.33,227,2.739
"22888","04-01-2011",1600,5,0.1,25.52,29.67,225.3,2.92
"22889","04-01-2011",1700,8,0.1,24.42,36.67,235.6,4.419
"22890","04-01-2011",1800,8,0.1,22.74,44.75,245.9,4.594
"22891","04-01-2011",1900,7,0.2,20.91,50.17,239.8,3.751
"22892","04-01-2011",2000,9,0.2,19.32,55.17,218.1,1.734
"22893","04-01-2011",2100,10,0.3,18.1,60.5,217.8,1.576
"22894","04-01-2011",2200,22,0.3,17.3,64.08,218.9,0.7186
"22895","04-01-2011",2300,8,0.2,16.42,67.42,242.3,0.39
"22896","04-01-2011",0,7,0.2,15.64,69.75,215.5,0.1802
"22897","05-01-2011",100,5,0.2,15.15,70.92,266.6,0.6152
"22898","05-01-2011",200,7,0.2,14.36,73.67,323.5,0.4993
"22899","05-01-2011",300,11,0.3,13.66,75.5,348.5,0.2752
"22900","05-01-2011",400,13,0.3,13.08,77.33,197,0.1751
"22901","05-01-2011",500,16,0.6,12.62,78,294.5,0.1716
"22902","05-01-2011",600,27,0.6,14.82,71.67,321.1,0.4322
"22903","05-01-2011",700,22,0.4,18.05,61.42,343.8,0.7636
"22904","05-01-2011",800,17,0.3,19.98,55.92,308.9,1.158
"22905","05-01-2011",900,13,0.3,22.4,47.33,135.2,0.7876
"22906","05-01-2011",1000,15,0.3,24.67,39.67,242.3,0.9171
"22907","05-01-2011",1100,18,0.3,26.6,33.75,232,1.131
"22908","05-01-2011",1200,17,0.3,28.85,27.92,240.7,1.603
"22909","05-01-2011",1300,7,0.2,30.68,19.92,235.4,2.487
"22910","05-01-2011",1400,22,0.2,31.05,19.92,224.1,3.163
"22911","05-01-2011",1500,19,0.2,31.33,23.67,217.6,3.342
"22912","05-01-2011",1600,19,0.2,30.95,24.42,238,4.12
"22913","05-01-2011",1700,12,0.2,30.54,23.5,225.3,3.766
"22914","05-01-2011",1800,10,0.2,29.21,23.42,238.7,4.24
"22915","05-01-2011",1900,12,0.2,27,29.75,233.1,2.736
"22916","05-01-2011",2000,7,0.3,24.63,37.5,208.6,1.742
"22917","05-01-2011",2100,26,0.4,22.92,43,178.1,1.288
"22918","05-01-2011",2200,10,0.4,21.67,46.42,192.7,1.113
"22919","05-01-2011",2300,24,0.3,20.83,50.25,203.9,0.9901
"22920","05-01-2011",0,15,0.3,19.59,55.33,236.1,0.0632
"22921","06-01-2011",100,16,0.3,18.61,59.58,233.9,0.8777
