"","FECHA","HORA","PM25","CO","T","HR","VV","DV"
"22801","01-01-2011",100,26,0.9,15.41,83.08,0.9106,91.16
"22802","01-01-2011",200,19,0.7,14.79,83.17,0.9791,86.51
"22803","01-01-2011",300,17,0.6,15.09,78.92,2.023,74.86
"22804","01-01-2011",400,17,0.5,14.97,76.42,1.239,68.58
"22805","01-01-2011",500,19,0.5,13.88,82,0.9268,86.59
"22806","01-01-2011",600,22,0.6,14.43,81,0.424,95.66
"22807","01-01-2011",700,23,0.5,18.96,61.58,0.4756,219.8
"22808","01-01-2011",800,42,0.9,19.82,62.25,1.343,248.9
"22809","01-01-2011",900,34,0.7,21.71,55.92,1.4,226.7
"22810","01-01-2011",1000,27,0.5,23.64,48.92,1.83,227.2
"22811","01-01-2011",1100,18,0.4,25.84,41.17,1.785,233.5
"22812","01-01-2011",1200,17,0.4,27.5,35.83,2.013,246.8
"22813","01-01-2011",1300,29,0.3,28.72,34.33,2.21,242.5
"22814","01-01-2011",1400,12,0.3,28.29,35.42,2.547,236.8
"22815","01-01-2011",1500,8,0.2,28.17,33.08,2.509,242.6
"22816","01-01-2011",1600,15,0.2,27.73,34.83,2.474,260.5
"22817","01-01-2011",1700,20,0.3,26.64,40.17,2.208,247.2
"22818","01-01-2011",1800,8,0.3,25.37,42.92,1.703,220.5
"22819","01-01-2011",1900,15,0.3,22.97,47.92,1.378,201.3
"22820","01-01-2011",2000,14,0.3,20.28,57.25,1.094,200.9
"22821","01-01-2011",2100,11,0.3,18.51,62.75,0.9555,192.8
"22822","01-01-2011",2200,15,0.4,17.13,69.67,0.5169,128.3
"22823","01-01-2011",2300,13,0.3,16.37,74,0.6695,157.3
"22824","01-01-2011",0,10,0.5,15.71,77.42,0.6298,174.5
"22825","02-01-2011",100,11,0.5,14.82,81.42,0.474,114.5
"22826","02-01-2011",200,12,0.4,14.17,85.08,0.6143,139.8
"22827","02-01-2011",300,10,0.4,14.35,80.67,0.1845,335.6
"22828","02-01-2011",400,12,0.4,13.74,84.83,0.6405,86.69
"22829","02-01-2011",500,15,0.4,13.36,86.83,0.4143,176.6
"22830","02-01-2011",600,13,0.3,13.81,82.75,0.8392,179.9
"22831","02-01-2011",700,17,0.3,16.22,73.25,0.6314,158
"22832","02-01-2011",800,15,0.3,17.52,66.08,1.756,229.7
"22833","02-01-2011",900,15,0.3,18.19,63.42,1.966,225.7
"22834","02-01-2011",1000,15,0.3,19.53,58.92,1.83,232.9
"22835","02-01-2011",1100,17,0.3,21.26,54.42,1.873,239.2
"22836","02-01-2011",1200,15,0.3,22.74,49.5,1.809,238.1
"22837","02-01-2011",1300,18,0.3,23.67,47.25,2.095,240.8
"22838","02-01-2011",1400,13,0.2,24.22,45.25,2.401,235.6
"22839","02-01-2011",1500,10,0.2,24.21,44.08,2.355,242.8
"22840","02-01-2011",1600,9,0.2,23.68,45.25,2.375,247.4
"22841","02-01-2011",1700,11,0.2,22.72,47.92,2.221,246.7
"22842","02-01-2011",1800,11,0.2,21.56,51.67,1.529,221.8
"22843","02-01-2011",1900,9,0.2,19.41,57.92,1.467,225.8
"22844","02-01-2011",2000,9,0.2,17.74,63.83,1.225,194.7
"22845","02-01-2011",2100,9,0.3,16.54,68.17,1.117,198.5
"22846","02-01-2011",2200,9,0.3,15.86,70.92,0.9335,209.6
"22847","02-01-2011",2300,8,0.3,14.91,74.17,0.8804,202.6
"22848","02-01-2011",0,10,0.3,14.12,77.67,0.9065,198.4
"22849","03-01-2011",100,10,0.3,13.2,82.42,0.5844,173
"22850","03-01-2011",200,4,0.2,12.62,83.25,0.9383,195.9
"22851","03-01-2011",300,6,0.2,11.93,86.33,0.7612,175.8
"22852","03-01-2011",400,4,0.3,11.08,89.75,0.5285,122.6
"22853","03-01-2011",500,8,0.3,10.72,91.83,0.428,108.7
"22854","03-01-2011",600,24,0.3,11.62,89.17,0.5492,78.15
"22855","03-01-2011",700,5,0.2,14.84,73.33,0.5118,144.3
"22856","03-01-2011",800,15,0.2,16.79,67.33,0.479,123.2
"22857","03-01-2011",900,18,0.3,18.95,60,0.93,245.4
"22858","03-01-2011",1000,12,0.3,20.71,54.25,1.174,222.1
"22859","03-01-2011",1100,14,0.3,22.33,49.08,1.635,239
"22860","03-01-2011",1200,15,0.3,23.91,44.08,1.627,232.4
"22861","03-01-2011",1300,18,0.3,25.62,39.75,1.636,222.8
"22862","03-01-2011",1400,18,0.3,26.3,38.08,2.243,256.8
"22863","03-01-2011",1500,17,0.2,26.21,39,2.293,249.3
"22864","03-01-2011",1600,9,0.2,25.23,41,2.428,251.9
"22865","03-01-2011",1700,6,0.2,24.17,41.33,2.456,264.4
"22866","03-01-2011",1800,8,0.2,22.82,42.83,1.593,248.4
"22867","03-01-2011",1900,12,0.2,19.8,51.67,1.527,221.7
"22868","03-01-2011",2000,8,0.2,17.79,57.92,1.432,237
"22869","03-01-2011",2100,8,0.2,16.49,62.33,0.9227,217.6
"22870","03-01-2011",2200,8,0.2,15.24,67.5,0.6821,189.7
"22871","03-01-2011",2300,5,0.2,14.42,72.42,0.8566,192.4
"22872","03-01-2011",0,6,0.2,13.79,73,1.236,215.9
"22873","04-01-2011",100,6,0.1,12.86,77.83,0.6409,200.9
