"","FECHA","HORA","PM25","CO","T","HR","DV","VV"
"22801","01-01-2011",100,15,1.2,17.17,70.42,253,0.2332
"22802","01-01-2011",200,17,1.2,16.76,71.58,322.3,0.1128
"22803","01-01-2011",300,16,1,15.88,74,247.2,0.2788
"22804","01-01-2011",400,23,0.8,15.57,76.92,215,0.4507
"22805","01-01-2011",500,15,0.5,14.87,78.5,207.8,0.4561
"22806","01-01-2011",600,20,0.4,16.17,74.25,209.4,0.3101
"22807","01-01-2011",700,15,0.3,18.18,67.5,218.7,0.6468
"22808","01-01-2011",800,17,0.2,20.89,59.17,256.7,0.4883
"22809","01-01-2011",900,23,0.3,23.37,52.42,269.2,0.4846
"22810","01-01-2011",1000,28,0.3,25.68,47.25,256.9,0.7037
"22811","01-01-2011",1100,20,0.3,27.88,42.75,244.7,0.8713
"22812","01-01-2011",1200,24,0.3,29.02,39,240.3,1.344
"22813","01-01-2011",1300,12,0.2,29.27,35.75,245.9,1.732
"22814","01-01-2011",1400,7,0.2,29.69,32.33,254.6,1.852
"22815","01-01-2011",1500,11,0.2,29.66,32.83,244.4,2.015
"22816","01-01-2011",1600,12,0.2,28.97,37.67,237.7,1.772
"22817","01-01-2011",1700,15,0.2,27.33,41.75,211.6,1.955
"22818","01-01-2011",1800,13,0.2,25.8,43.75,213.3,1.762
"22819","01-01-2011",1900,16,0.2,23.38,49.33,247.9,1.653
"22820","01-01-2011",2000,16,0.2,20.33,58.42,215.5,0.7992
"22821","01-01-2011",2100,13,0.3,18.95,61,186,0.6629
"22822","01-01-2011",2200,10,0.3,18.47,60.75,213.4,0.5258
"22823","01-01-2011",2300,11,0.3,17.93,62.5,265.3,0.2924
"22824","01-01-2011",0,9,0.3,17.38,64.08,175.9,0.3772
"22825","02-01-2011",100,11,0.3,16.63,67.17,166.6,0.3087
"22826","02-01-2011",200,11,0.3,16.23,69.17,196.6,0.4425
"22827","02-01-2011",300,13,0.2,15.66,71.75,191.9,0.292
"22828","02-01-2011",400,12,0.2,15.07,74.5,200.3,0.6751
"22829","02-01-2011",500,12,0.2,14.72,75.75,180.3,0.7692
