"","FECHA","HORA","PM25","CO","T","HR","DV","VV"
"22801","01-01-2011",100,19,1,17.86,68.92,273.5,0.5869
"22802","01-01-2011",200,14,0.8,16.77,72.58,250.2,0.5267
"22803","01-01-2011",300,13,0.6,16.03,75,236.9,0.7172
"22804","01-01-2011",400,18,0.4,15.04,78.67,267.6,0.7381
"22805","01-01-2011",500,24,0.4,14.62,81,261.7,0.602
"22806","01-01-2011",600,17,0.5,15.52,77.92,337.3,0.4736
"22807","01-01-2011",700,20,0.5,17.91,68.92,265.4,0.6282
"22808","01-01-2011",800,19,0.4,19.96,62.5,233.8,0.7048
"22809","01-01-2011",900,22,0.4,22.42,54.83,203.6,0.8752
"22810","01-01-2011",1000,25,0.4,25.11,46.17,203.2,1.224
"22811","01-01-2011",1100,26,0.4,27.42,40,210.2,1.275
"22812","01-01-2011",1200,21,0.3,28.94,35.58,209.7,2.005
"22813","01-01-2011",1300,14,0.3,29.65,33.5,217.1,2.14
"22814","01-01-2011",1400,8,0.2,30.12,30.25,205.8,2.17
"22815","01-01-2011",1500,16,0.2,29.94,31.75,206.2,2.418
"22816","01-01-2011",1600,17,0.2,28.86,37.33,212.8,2.454
"22817","01-01-2011",1700,15,0.2,27.38,40.42,203.2,2.017
"22818","01-01-2011",1800,15,0.2,25.88,43.25,200.3,1.979
"22819","01-01-2011",1900,16,0.2,23.64,48.5,203.2,1.768
"22820","01-01-2011",2000,15,0.3,21.1,55.42,193.3,1.655
"22821","01-01-2011",2100,12,0.3,19.63,60.17,174.8,1.466
"22822","01-01-2011",2200,12,0.3,18.54,63.17,199.6,0.9988
"22823","01-01-2011",2300,12,0.4,18.09,65.33,226.3,0.5384
"22824","01-01-2011",0,10,0.3,17.71,65,212.3,0.2099
"22825","02-01-2011",100,10,0.2,17.04,68.17,233.7,0.7191
"22826","02-01-2011",200,12,0.2,16.18,72.5,262.2,0.7723
"22827","02-01-2011",300,10,0.3,15.96,72.75,227.6,0.4237
"22828","02-01-2011",400,9,0.3,15.47,73,238.2,0.658
"22829","02-01-2011",500,9,0.2,15.37,72.5,219.6,0.8713
"22830","02-01-2011",600,13,0.3,15.19,74.42,282.6,0.956
"22831","02-01-2011",700,14,0.3,16.64,69.75,235.3,1.193
"22832","02-01-2011",800,11,0.2,18.02,65,217.1,1.555
"22833","02-01-2011",900,10,0.2,19.34,60.75,214.4,1.586
"22834","02-01-2011",1000,13,0.2,21.37,53.67,192.8,1.314
"22835","02-01-2011",1100,13,0.2,23.09,48.42,214,1.542
"22836","02-01-2011",1200,14,0.2,24.72,43.92,186,1.932
"22837","02-01-2011",1300,12,0.2,25.72,40.42,210.7,2.093
"22838","02-01-2011",1400,10,0.2,26.27,38.83,219.5,1.922
"22839","02-01-2011",1500,11,0.2,26.36,38.25,212.3,2.082
"22840","02-01-2011",1600,10,0.2,25.69,39.92,212.8,2.041
"22841","02-01-2011",1700,14,0.2,24.05,44.67,205.5,2.228
"22842","02-01-2011",1800,15,0.2,22.62,48,200.4,1.824
"22843","02-01-2011",1900,13,0.2,20.74,53.92,210.2,1.531
"22844","02-01-2011",2000,13,0.3,19.4,59,193.8,1.382
"22845","02-01-2011",2100,9,0.2,18.26,62.75,192.1,1.375
"22846","02-01-2011",2200,10,0.3,17.17,66.33,195,1.135
"22847","02-01-2011",2300,6,0.2,16.34,68.5,188.3,1.293
"22848","02-01-2011",0,8,0.2,15.6,70.67,174.6,1.022
"22849","03-01-2011",100,6,0.1,14.95,73,199.8,0.9429
"22850","03-01-2011",200,6,0.1,14.52,74.42,192.6,0.7542
"22851","03-01-2011",300,8,0.1,14.2,75.17,228.5,0.6367
"22852","03-01-2011",400,8,0.2,14.07,75.75,235.6,0.3831
"22853","03-01-2011",500,9,0.2,13.96,75.42,10.36,0.5797
"22854","03-01-2011",600,13,0.3,15.09,72.58,17.94,0.8704
"22855","03-01-2011",700,10,0.3,17.41,62.42,26.93,0.5977
"22856","03-01-2011",800,14,0.3,19.18,57.83,55.32,0.2066
"22857","03-01-2011",900,16,0.3,20.78,53.33,302.4,0.9563
"22858","03-01-2011",1000,16,0.4,23.4,45.33,290,0.6412
"22859","03-01-2011",1100,16,0.4,24.96,41.08,267.5,0.7353
"22860","03-01-2011",1200,16,0.3,26.87,37,165.9,0.5326
"22861","03-01-2011",1300,18,0.3,28.18,34.17,208.8,1.444
"22862","03-01-2011",1400,15,0.3,28.43,34.58,201.5,2.204
"22863","03-01-2011",1500,10,0.2,27.84,35.5,229.7,2.663
"22864","03-01-2011",1600,8,0.3,27.33,35,218.2,2.343
"22865","03-01-2011",1700,10,0.2,25.82,36.83,225.3,2.111
"22866","03-01-2011",1800,15,0.3,23.42,41.92,208.8,1.927
"22867","03-01-2011",1900,14,0.4,21.02,48.58,187.8,2.197
"22868","03-01-2011",2000,13,0.3,19.11,54.83,191.4,1.996
"22869","03-01-2011",2100,9,0.3,18.09,58.58,192.1,1.338
"22870","03-01-2011",2200,10,0.3,17.62,60.25,184.8,1.088
"22871","03-01-2011",2300,8,0.2,16.41,65.08,201.1,1.546
"22872","03-01-2011",0,7,0.2,15.43,69.25,181.3,1.521
"22873","04-01-2011",100,3,0.1,14.82,70.92,160.2,1.605
"22874","04-01-2011",200,4,0.2,15.67,67.08,141.7,1.07
"22875","04-01-2011",300,3,0.3,15.92,64.67,162.7,0.7778
"22876","04-01-2011",400,5,0.2,15.3,66,213.1,1.508
"22877","04-01-2011",500,6,0.3,14.99,63.75,186.3,1.219
"22878","04-01-2011",600,9,0.3,15.26,78.42,166,0.5503
"22879","04-01-2011",700,7,0.3,15.89,60.67,51.93,0.7193
"22880","04-01-2011",800,9,0.3,16.52,58.75,305.5,0.8712
"22881","04-01-2011",900,11,0.4,17.43,56.25,16.61,0.1027
"22882","04-01-2011",1000,13,0.4,19.4,50.42,126.5,0.5191
"22883","04-01-2011",1100,10,0.3,20.9,44.58,193.3,0.7022
"22884","04-01-2011",1200,6,0.2,23.65,36,169.9,1.079
"22885","04-01-2011",1300,8,0.2,24.22,34.58,210,1.331
"22886","04-01-2011",1400,6,0.2,25.41,31.08,219.6,1.38
"22887","04-01-2011",1500,9,0.2,25.93,30.33,228.4,1.478
"22888","04-01-2011",1600,4,0.2,25.6,31,218.5,1.587
"22889","04-01-2011",1700,13,0.2,25.33,31.92,217.3,2.07
"22890","04-01-2011",1800,16,0.3,23.97,40.08,215.6,2.24
"22891","04-01-2011",1900,11,0.3,22.02,46.33,226.1,2.185
"22892","04-01-2011",2000,14,0.3,20.51,53.58,215,1.209
"22893","04-01-2011",2100,12,0.3,19.48,58.5,201,1.302
"22894","04-01-2011",2200,9,0.3,18.53,62.33,187.3,0.9063
"22895","04-01-2011",2300,7,0.3,17.66,65.25,245.1,0.533
"22896","04-01-2011",0,8,0.2,17.1,66.92,291.8,0.5808
"22897","05-01-2011",100,8,0.3,16.57,69.08,17.19,0.8077
"22898","05-01-2011",200,10,0.3,15.89,72.08,7.313,0.7123
"22899","05-01-2011",300,10,0.3,15.37,74.58,104,0.3994
"22900","05-01-2011",400,11,0.3,15,76,33.35,0.4384
"22901","05-01-2011",500,17,0.5,14.62,77.67,114.7,0.292
"22902","05-01-2011",600,22,0.5,16.27,71.5,327.6,0.4691
"22903","05-01-2011",700,16,0.5,18.93,60.83,16.78,0.5297
"22904","05-01-2011",800,16,0.4,20.68,53.75,306.6,0.8523
"22905","05-01-2011",900,16,0.4,22.65,46.08,207.4,0.6264
"22906","05-01-2011",1000,15,0.4,25.06,38.5,255.7,0.3885
"22907","05-01-2011",1100,14,0.4,27.02,32.58,323.9,1.092
"22908","05-01-2011",1200,18,0.4,29.92,25.92,285.6,0.3606
"22909","05-01-2011",1300,13,0.4,31.24,20.5,220.1,0.6457
"22910","05-01-2011",1400,7,0.2,31.88,17.5,225.5,1.632
"22911","05-01-2011",1500,19,0.3,32.14,17.75,208.7,1.829
"22912","05-01-2011",1600,24,0.3,31.91,20.17,200.3,1.911
"22913","05-01-2011",1700,15,0.3,31.51,21.08,199.5,1.735
"22914","05-01-2011",1800,11,0.3,30.27,22,215.8,1.876
"22915","05-01-2011",1900,23,0.3,28.02,27.67,221.7,1.743
"22916","05-01-2011",2000,20,0.4,25.94,34.67,181.8,1.313
"22917","05-01-2011",2100,16,0.4,24.48,38.67,183.3,1.256
"22918","05-01-2011",2200,15,0.4,23.35,41.42,175.3,0.866
"22919","05-01-2011",2300,16,0.4,22.14,45.17,191.8,0.3897
"22920","05-01-2011",0,15,0.5,21.29,47.83,22.66,0.4549
"22921","06-01-2011",100,18,0.5,20.46,51.33,11.28,0.7508
"22922","06-01-2011",200,22,0.5,19.45,56.58,256.3,0.2891
"22923","06-01-2011",300,18,0.4,18.5,61.25,339.4,0.3329
"22924","06-01-2011",400,18,0.4,18.23,60.67,353.3,0.7857
"22925","06-01-2011",500,24,0.5,17.76,63.92,340.1,0.4086
"22926","06-01-2011",600,28,0.6,19.12,59.92,291.2,0.618
"22927","06-01-2011",700,28,0.6,21.37,53.33,31.66,0.4967
"22928","06-01-2011",800,30,0.5,23.38,47.67,294.8,0.4654
"22929","06-01-2011",900,30,0.5,25.39,40.67,230.6,0.8371
"22930","06-01-2011",1000,29,0.4,27.13,36.25,252,1.078
"22931","06-01-2011",1100,28,0.3,28.64,33.17,225,1.751
"22932","06-01-2011",1200,15,0.3,29.42,31,223.1,2.039
"22933","06-01-2011",1300,9,0.3,29.97,27.42,215.3,2.379
"22934","06-01-2011",1400,19,0.3,30.38,26.42,210.3,2.297
"22935","06-01-2011",1500,26,0.3,29.74,30.33,221.9,2.361
"22936","06-01-2011",1600,28,0.3,28.2,37.33,210.5,2.485
"22937","06-01-2011",1700,19,0.3,26.39,42.5,212.9,2.336
"22938","06-01-2011",1800,22,0.4,24.57,48.17,200.3,2.114
"22939","06-01-2011",1900,16,0.3,21.92,58.33,188,1.915
"22940","06-01-2011",2000,13,0.3,19.91,65.08,194.8,1.689
"22941","06-01-2011",2100,11,0.3,18.92,68.58,181.2,1.761
"22942","06-01-2011",2200,11,0.3,17.75,73,197.9,1.215
"22943","06-01-2011",2300,9,0.3,16.84,76.42,220.2,1.14
"22944","06-01-2011",0,9,0.2,15.94,80.75,210.4,1.108
"22945","07-01-2011",100,9,0.2,15.38,83.08,218.6,0.8868
"22946","07-01-2011",200,8,0.2,14.65,86.33,244.5,0.6847
"22947","07-01-2011",300,9,0.2,14.29,88.17,269.5,0.787
"22948","07-01-2011",400,10,0.2,13.98,89.42,281.9,0.7499
"22949","07-01-2011",500,12,0.3,13.92,89.82,340.7,0.3852
"22950","07-01-2011",600,17,0.4,14.92,85.75,8.879,0.6442
"22951","07-01-2011",700,26,0.6,17.12,77.5,278.4,0.5714
"22952","07-01-2011",800,32,0.6,19.01,70.42,206.5,0.4735
"22953","07-01-2011",900,32,0.5,20.77,63.75,224.1,1.19
"22954","07-01-2011",1000,32,0.4,21.94,59.58,214,1.778
"22955","07-01-2011",1100,27,0.4,23.27,55.25,213.7,1.954
"22956","07-01-2011",1200,15,0.4,25.15,47.5,202.2,1.863
"22957","07-01-2011",1300,13,0.3,26.85,36.83,210.2,2.001
