"","FECHA","HORA","PM25","CO","T","HR","DV","VV"
"22801","01-01-2011",100,46,2,16.59,66.58,65.29,0.1412
"22802","01-01-2011",200,32,2.1,16.05,68.33,353,0.5248
"22803","01-01-2011",300,19,1.6,15.25,70.25,285.6,0.4459
"22804","01-01-2011",400,25,2,14.53,72.5,303.1,0.4087
"22805","01-01-2011",500,12,0.9,13.61,73.67,325.4,0.8363
"22806","01-01-2011",600,15,0.8,14.29,71.36,331.7,0.7989
"22807","01-01-2011",700,33,0.9,17.32,63.58,343.7,0.7344
"22808","01-01-2011",800,28,0.6,19.49,58.33,319.9,0.9349
"22809","01-01-2011",900,32,0.6,22.23,51,276.1,0.6512
"22810","01-01-2011",1000,31,0.5,25.04,44.33,272.9,0.8235
"22811","01-01-2011",1100,19,0.4,27.42,39.17,236,1.16
"22812","01-01-2011",1200,13,0.3,29.32,33.83,242.4,1.784
"22813","01-01-2011",1300,16,0.3,29.82,32.42,237.4,2.397
"22814","01-01-2011",1400,2,0.3,29.62,30.5,203.5,2.574
"22815","01-01-2011",1500,6,0.3,29.67,27.5,206.1,2.469
"22816","01-01-2011",1600,23,0.3,28.86,32.92,215.4,2.495
"22817","01-01-2011",1700,10,0.3,27.09,39.33,223.2,2.583
"22818","01-01-2011",1800,11,0.3,25.38,41.92,220.2,2.218
"22819","01-01-2011",1900,12,0.3,22.72,46,188.9,2.451
"22820","01-01-2011",2000,23,0.3,20,54.33,192.6,1.422
"22821","01-01-2011",2100,10,0.4,17.95,59.5,176.3,1.411
"22822","01-01-2011",2200,10,0.5,17.12,61,183,0.9232
"22823","01-01-2011",2300,9,0.4,16.49,61.75,186.2,0.7961
"22824","01-01-2011",0,7,0.5,16.22,61.92,202,0.6467
"22825","02-01-2011",100,12,0.4,15.52,64.58,205.6,0.4962
"22826","02-01-2011",200,13,0.4,14.83,67.67,210.2,0.7398
"22827","02-01-2011",300,12,0.3,14.32,69.5,191.9,0.5269
"22828","02-01-2011",400,11,0.3,13.82,70.83,223.6,0.7267
"22829","02-01-2011",500,11,0.2,13.37,72.67,187.5,0.9576
"22830","02-01-2011",600,10,0.2,13.38,72.25,266.9,0.9619
"22831","02-01-2011",700,13,0.2,14.55,68.67,201.1,0.9812
"22832","02-01-2011",800,13,0.2,16.86,62.33,225.3,1.471
"22833","02-01-2011",900,12,0.2,18.51,58.17,219.4,1.686
"22834","02-01-2011",1000,15,0.2,20.56,52.58,215.4,0.7679
"22835","02-01-2011",1100,11,0.2,22.39,47.92,256.2,1.202
"22836","02-01-2011",1200,18,0.3,24.15,44.58,228.6,1.693
"22837","02-01-2011",1300,9,0.3,24.69,42.67,251.8,2.524
"22838","02-01-2011",1400,12,0.2,25.62,40.67,245.1,2.355
"22839","02-01-2011",1500,9,0.2,25.52,40.5,225.1,2.542
"22840","02-01-2011",1600,10,0.2,25.13,41.25,238.3,2.377
"22841","02-01-2011",1700,12,0.3,23.32,45.33,260,3.012
"22842","02-01-2011",1800,10,0.3,22.08,48,247,2.268
"22843","02-01-2011",1900,12,0.3,20.17,52.25,198.9,1.554
"22844","02-01-2011",2000,10,0.3,17.78,58.25,189.8,1.678
"22845","02-01-2011",2100,7,0.3,16.48,61.58,185.6,1.614
"22846","02-01-2011",2200,13,0.3,15.47,64.08,209.8,1.147
"22847","02-01-2011",2300,10,0.3,14.6,65.42,220.9,1.056
"22848","02-01-2011",0,6,0.2,13.89,67.25,207.3,0.8976
"22849","03-01-2011",100,3,0.2,13.23,69.08,212.1,0.7924
"22850","03-01-2011",200,3,0.2,12.75,70,192.1,0.7217
"22851","03-01-2011",300,8,0.2,12.25,71.83,314.9,0.433
"22852","03-01-2011",400,7,0.2,11.91,73.42,307.4,0.6897
"22853","03-01-2011",500,8,0.2,11.41,75.83,271.7,0.6394
"22854","03-01-2011",600,9,0.3,12.77,71.5,126,0.4549
"22855","03-01-2011",700,14,0.3,15.35,62.75,44.33,0.9456
"22856","03-01-2011",800,16,0.3,17.62,57.08,21.46,0.4893
"22857","03-01-2011",900,19,0.4,19.77,51.75,341.7,0.8975
"22858","03-01-2011",1000,16,0.4,22.42,45.58,289.7,1.151
"22859","03-01-2011",1100,17,0.4,24.11,41.83,235.4,1.143
"22860","03-01-2011",1200,21,0.4,25.7,39.33,283.5,1.272
"22861","03-01-2011",1300,18,0.3,27.31,36,268.3,1.544
"22862","03-01-2011",1400,14,0.3,27.73,35.42,231.9,2.289
"22863","03-01-2011",1500,13,0.3,27.68,35.75,240.7,2.651
"22864","03-01-2011",1600,9,0.3,26.81,36.58,258.1,3.076
"22865","03-01-2011",1700,10,0.3,25.22,38.33,252.9,3.352
"22866","03-01-2011",1800,10,0.3,23.02,42,252.8,3.367
