"","FECHA","HORA","PM25","CO","T","HR","DV","VV"
"22801","01-01-2011",100,17,0.7,16.63,74.83,176.2,1.096
"22802","01-01-2011",200,15,0.6,15.76,77.92,169,1.252
"22803","01-01-2011",300,11,0.4,14.99,81.17,178.8,1.455
"22804","01-01-2011",400,11,0.4,14.34,83.25,188.7,1.492
"22805","01-01-2011",500,9,0.3,13.71,85.92,176.1,1.505
"22806","01-01-2011",600,11,0.3,14.59,82.5,174.5,1.318
"22807","01-01-2011",700,13,0.3,16.01,77,204.9,1.444
"22808","01-01-2011",800,15,0.2,17.35,73.33,213.6,1.769
"22809","01-01-2011",900,16,0.3,20.38,64,195.9,1.663
"22810","01-01-2011",1000,22,0.3,22.84,56.83,205.2,1.954
"22811","01-01-2011",1100,24,0.4,25.54,49.5,202,2.642
"22812","01-01-2011",1200,18,0.3,27.4,43.08,208.3,4.032
"22813","01-01-2011",1300,13,0.3,28.72,35.83,205.2,4.585
"22814","01-01-2011",1400,13,0.3,29.85,33.5,210,4.45
"22815","01-01-2011",1500,13,0.3,29.52,37.58,209.1,4.306
"22816","01-01-2011",1600,12,0.3,28.42,40.25,202.7,4.311
"22817","01-01-2011",1700,13,0.3,26.89,44,200.6,4.128
"22818","01-01-2011",1800,13,0.3,25.17,47,202,3.771
"22819","01-01-2011",1900,14,0.3,22.72,53.75,207.3,3.853
"22820","01-01-2011",2000,13,0.3,20.17,61.58,208.6,3.88
"22821","01-01-2011",2100,13,0.3,18.97,65.17,158.2,2.411
"22822","01-01-2011",2200,12,0.3,18.08,68.08,180.5,2.103
"22823","01-01-2011",2300,11,0.3,17.34,69.67,210.2,1.583
"22824","01-01-2011",0,10,0.3,16.72,71.25,181.8,1.334
"22825","02-01-2011",100,9,0.3,16.27,73.75,206,1.007
"22826","02-01-2011",200,9,0.2,15.57,76.75,199.3,1.342
"22827","02-01-2011",300,7,0.2,15,77.33,179.3,1.526
"22828","02-01-2011",400,8,0.1,14.56,78.58,192.5,1.584
"22829","02-01-2011",500,9,0.2,14.26,81.33,190.5,1.846
"22830","02-01-2011",600,11,0.2,14.35,81.17,184.2,1.375
"22831","02-01-2011",700,12,0.2,15.77,75.5,179.1,1.687
"22832","02-01-2011",800,8,0.2,16.97,71.25,207.7,3.024
"22833","02-01-2011",900,10,0.1,18.29,66.08,204.3,3.09
"22834","02-01-2011",1000,11,0.2,20.61,58.58,194.1,2.58
"22835","02-01-2011",1100,10,0.2,22.56,52.5,198.9,3.052
"22836","02-01-2011",1200,12,0.2,24.17,47.33,202.1,3.004
