"","FECHA","HORA","PM25","CO","T","HR","DV","VV"
"22801","01-01-2011",100,82,3.4,15.91,75.83,188.1,0.3315
"22802","01-01-2011",200,68,3.9,15.4,77.25,75.65,0.4909
"22803","01-01-2011",300,42,2.8,14.79,78.25,156.7,0.2061
"22804","01-01-2011",400,29,1.7,13.58,80.25,213.1,0.8123
"22805","01-01-2011",500,28,1.2,12.47,85.17,233.2,0.4956
"22806","01-01-2011",600,28,0.7,13.51,82,235.4,0.4859
"22807","01-01-2011",700,13,0.4,16.41,73.83,270.3,0.9728
"22808","01-01-2011",800,16,0.4,18.2,68.75,279.3,1.438
"22809","01-01-2011",900,20,0.4,20.72,61.17,280.4,1.64
"22810","01-01-2011",1000,26,0.3,22.82,55.92,254.9,2.013
"22811","01-01-2011",1100,15,0.2,25.02,51,264.6,2.349
"22812","01-01-2011",1200,2,0.2,26.63,43.25,252.5,3.893
"22813","01-01-2011",1300,16,0.2,27.2,42.83,257.9,5.199
"22814","01-01-2011",1400,1,0.1,26.92,39.08,261.6,5.605
"22815","01-01-2011",1500,6,0.1,27.34,36.67,259.9,5.406
"22816","01-01-2011",1600,13,0.1,26.38,40.42,261.2,5.718
"22817","01-01-2011",1700,4,0.1,25.35,43.5,250.6,5.324
"22818","01-01-2011",1800,10,0.1,23.81,47.75,255.8,4.014
"22819","01-01-2011",1900,9,0.1,21.12,52.92,257,3.389
"22820","01-01-2011",2000,9,0.1,17.59,64.83,252.8,2.532
"22821","01-01-2011",2100,8,0.2,15.79,70.17,271.6,1.973
"22822","01-01-2011",2200,6,0.2,15.01,72.42,251.3,1.241
"22823","01-01-2011",2300,6,0.2,14.54,72,248.1,0.4843
"22824","01-01-2011",0,6,0.2,14.21,73.83,224.3,0.6501
"22825","02-01-2011",100,8,0.2,13.5,76.17,236.7,0.513
"22826","02-01-2011",200,11,0.3,13.07,79.17,222.3,1.198
"22827","02-01-2011",300,8,0.3,12.78,80,255.5,0.1785
"22828","02-01-2011",400,10,0.2,12.21,82.42,235.8,0.9124
"22829","02-01-2011",500,11,0.2,12.04,83.83,185.7,0.8835
"22830","02-01-2011",600,15,0.3,11.76,86.08,262.1,1.195
"22831","02-01-2011",700,9,0.2,12.74,81.83,228.8,1.437
"22832","02-01-2011",800,10,0.2,14.37,75.83,251.9,2.835
"22833","02-01-2011",900,9,0.2,15.9,72.08,242.4,3.551
"22834","02-01-2011",1000,11,0.2,18.31,64.58,249.8,2.752
"22835","02-01-2011",1100,13,0.2,20.32,58.75,263.2,2.873
"22836","02-01-2011",1200,11,0.2,21.22,56.5,257.9,3.431
"22837","02-01-2011",1300,8,0.1,22.17,53,262.7,3.88
"22838","02-01-2011",1400,6,0.1,22.81,49.58,254.6,4.443
"22839","02-01-2011",1500,6,0.1,23.16,47.42,261.7,4.404
"22840","02-01-2011",1600,6,0.1,22.52,49.75,256.8,5.191
"22841","02-01-2011",1700,10,0.1,21,53.67,257.8,5.608
"22842","02-01-2011",1800,9,0.1,19.57,57.58,262.3,4.841
"22843","02-01-2011",1900,12,0.1,17.62,62.92,259.2,3.617
"22844","02-01-2011",2000,12,0.2,15.77,68.92,256.1,3.121
"22845","02-01-2011",2100,9,0.2,14.77,72,255.5,1.04
"22846","02-01-2011",2200,5,0.2,13.98,74.25,255.1,1.198
"22847","02-01-2011",2300,3,0.2,13.11,76.42,261.1,1.309
"22848","02-01-2011",0,3,0.2,12.22,79,269.9,0.9994
"22849","03-01-2011",100,3,0.2,11.78,80,296.3,0.8365
"22850","03-01-2011",200,3,0.2,11.41,81.09,332.1,0.425
"22851","03-01-2011",300,7,0.2,11.21,81.25,322.5,0.8812
"22852","03-01-2011",400,9,0.2,10.52,84.17,253.8,0.469
"22853","03-01-2011",500,9,0.3,10.48,85.42,101.6,0.6098
"22854","03-01-2011",600,17,0.3,11.8,80.67,32.84,1.087
"22855","03-01-2011",700,13,0.3,13.88,72.58,28.54,1.254
"22856","03-01-2011",800,13,0.3,16.6,63.58,0.6124,0.6831
"22857","03-01-2011",900,16,0.3,19.07,57.25,290.9,0.9627
"22858","03-01-2011",1000,11,0.2,20.82,53.25,263.3,1.749
"22859","03-01-2011",1100,14,0.2,22.02,51.5,265.1,2.61
"22860","03-01-2011",1200,11,0.2,23.7,47.25,259.5,2.704
"22861","03-01-2011",1300,11,0.2,25.32,42.42,251,3.147
"22862","03-01-2011",1400,10,0.1,25.66,41.17,256.5,4.314
"22863","03-01-2011",1500,9,0.1,25.59,41.75,257.8,5.629
"22864","03-01-2011",1600,5,0.1,24.74,43,260.1,6.389
