"","FECHA","HORA","PM25","CO","T","HR","DV","VV"
"22801","01-01-2011",100,31,1.1,15.94,74.25,216.5,0.4518
"22802","01-01-2011",200,18,1.2,15.4,75.75,208,0.7653
"22803","01-01-2011",300,17,0.7,14.68,78.33,224.8,0.6276
"22804","01-01-2011",400,10,0.4,14.11,80.75,204.2,0.9946
"22805","01-01-2011",500,13,0.4,13.47,83,214.6,0.7574
"22806","01-01-2011",600,12,0.3,14.88,78.83,223.8,0.4308
"22807","01-01-2011",700,13,0.3,16.69,73.75,205.8,1.517
"22808","01-01-2011",800,15,0.3,18.91,67.17,204.5,1.473
"22809","01-01-2011",900,18,0.3,21.66,59.83,205.9,1.795
"22810","01-01-2011",1000,25,0.3,23.85,54.17,200.4,2.574
"22811","01-01-2011",1100,22,0.3,26.29,47.42,185.5,3.04
"22812","01-01-2011",1200,11,0.3,28.28,41.83,178.5,4.024
"22813","01-01-2011",1300,1,0.1,29.69,32,170.6,4.084
"22814","01-01-2011",1400,11,0.1,30.72,30.08,173.5,4.121
"22815","01-01-2011",1500,13,0.1,30.25,35.42,186.4,4.17
"22816","01-01-2011",1600,13,0.1,29.13,39.92,173.6,3.793
"22817","01-01-2011",1700,54,0.1,27.57,43.42,155.7,3.942
"22818","01-01-2011",1800,30,0.1,25.42,47.67,160.8,3.768
"22819","01-01-2011",1900,32,0.2,22.45,54.25,165.3,3.477
"22820","01-01-2011",2000,26,0.2,19.58,61.75,156.7,3.029
"22821","01-01-2011",2100,18,0.3,18.47,64.17,135.4,2.665
"22822","01-01-2011",2200,12,0.3,17.52,66.17,144.5,1.989
"22823","01-01-2011",2300,12,0.3,16.72,68.75,180.2,1.499
"22824","01-01-2011",0,11,0.3,16.09,70.42,223.1,0.7341
"22825","02-01-2011",100,15,0.3,15.4,72.33,216,0.8844
"22826","02-01-2011",200,12,0.3,14.88,75.25,198.9,1.309
"22827","02-01-2011",300,6,0.2,14.59,74.08,186.8,1.76
"22828","02-01-2011",400,8,0.2,13.95,76.75,189.5,2.282
"22829","02-01-2011",500,10,0.2,13.52,80.25,189.3,2.017
"22830","02-01-2011",600,11,0.2,14.03,79.58,193.4,0.9683
"22831","02-01-2011",700,9,0.2,15.04,76,194.7,2.136
"22832","02-01-2011",800,11,0.2,15.97,72.75,178.5,2.8
"22833","02-01-2011",900,9,0.2,18.32,65.08,172.6,3.001
"22834","02-01-2011",1000,9,0.2,20.59,58.08,167.3,2.976
"22835","02-01-2011",1100,14,0.2,22.91,53.08,174.6,2.97
"22836","02-01-2011",1200,10,0.2,24.47,48,168.6,3.292
"22837","02-01-2011",1300,14,0.2,25.41,46.08,162,3.814
"22838","02-01-2011",1400,9,0.2,25.82,45,198,4.639
"22839","02-01-2011",1500,11,0.2,25.31,45.83,200.2,5.608
