"","FECHA","HORA","PM25","CO","T","HR","DV","VV"
"22801","01-01-2011",100,7,0.2,10.32,85.58,219.7,0.123
"22802","01-01-2011",200,6,0.2,10.07,87.17,181.5,0.254
"22803","01-01-2011",300,6,0.3,9.725,88.5,206.2,0.211
"22804","01-01-2011",400,10,0.4,9.7,89.18,221.3,0.174
"22805","01-01-2011",500,12,0.4,10.05,89,294,0.232
"22806","01-01-2011",600,8,0.4,10.81,75.08,293.5,0.558
"22807","01-01-2011",700,12,0.4,12.2,84.08,270.1,0.657
"22808","01-01-2011",800,17,0.4,14.45,75.83,223.5,1.144
"22809","01-01-2011",900,19,0.4,17.82,66.08,220.4,1.388
"22810","01-01-2011",1000,17,0.4,20.43,59.58,219.2,1.75
"22811","01-01-2011",1100,18,0.3,23.31,53.08,230.4,1.897
"22812","01-01-2011",1200,18,0.2,26.02,46.58,238.1,1.873
"22813","01-01-2011",1300,11,0.1,26.13,45.83,246.3,2.31
"22814","01-01-2011",1400,8,0.1,26.83,43.42,253.6,2.564
"22815","01-01-2011",1500,6,0.301,25.29,45.83,253.9,3.47
"22816","01-01-2011",1600,11,0.2,23.92,48.83,253.8,3.337
"22817","01-01-2011",1700,13,0.101,22.71,51.58,257.6,3.126
"22818","01-01-2011",1800,6,0.199,20.57,56.83,258,2.702
"22819","01-01-2011",1900,10,0.199,17.81,63.17,252.6,2.413
"22820","01-01-2011",2000,8,0.3,15.82,67.42,265.7,2.696
"22821","01-01-2011",2100,10,0.183,14.81,68.92,257.8,1.75
"22822","01-01-2011",2200,10,0.2,13.62,72.75,250.9,0.395
"22823","01-01-2011",2300,10,0.2,12.3,77.83,236.9,0.23
"22824","01-01-2011",0,9,1.021,11.39,81.33,29.27,0.049
"22825","02-01-2011",100,8,0.1,11.01,82.42,2.17,0.01
"22826","02-01-2011",200,8,0.299,10.55,83,122.4,0.136
"22827","02-01-2011",300,9,0.1,10.26,84.17,117.8,0.259
"22828","02-01-2011",400,8,1.213,9.958,84.83,59.1,0.102
"22829","02-01-2011",500,9,0.241,9.817,85,101.6,0.191
"22830","02-01-2011",600,13,0.1,10.49,85.08,230,0.487
"22831","02-01-2011",700,16,0.2,13.96,73.67,251.1,0.87
"22832","02-01-2011",800,14.75,0.2,16.81,62.42,254.1,1.144
"22833","02-01-2011",900,0,0.101,18.06,60.08,266.3,1.436
"22834","02-01-2011",1000,2,0.1,20.66,53.75,256.6,1.668
"22835","02-01-2011",1100,0,0.1,22.39,49.75,249.3,1.904
"22836","02-01-2011",1200,0.333,0.282,23.72,46.08,257.8,2.265
"22837","02-01-2011",1300,15.67,0.299,24.62,42.83,252.5,2.473
"22838","02-01-2011",1400,0.25,0.2,24.51,43.33,257.8,2.954
"22839","02-01-2011",1500,14.67,0.1,23.07,46.33,258.8,3.413
"22840","02-01-2011",1600,0.583,0.291,21.83,49,253.3,3.476
"22841","02-01-2011",1700,26.58,0.4,20.65,51.58,255.4,3.204
"22842","02-01-2011",1800,5.5,1.138,19.78,54,259.3,2.651
"22843","02-01-2011",1900,32.5,1.683,18.43,56.67,259,2.557
"22844","02-01-2011",2000,9.083,1.104,16.62,60.5,260.8,1.997
"22845","02-01-2011",2100,13.92,1.13,15.14,64.42,259.2,1.66
"22846","02-01-2011",2200,8.917,0.18,14.18,67.83,255,1.164
"22847","02-01-2011",2300,4.083,0.207,13.41,70.83,253.5,0.965
"22848","02-01-2011",0,8.833,0.2,12.54,73.58,240.2,0.434
"22849","03-01-2011",100,2.083,0.6,11.49,77.83,233.1,0.143
"22850","03-01-2011",200,4.917,0.7,11.11,78.42,139.6,0.206
"22851","03-01-2011",300,0,0.6,9.95,83.33,299.7,0.142
"22852","03-01-2011",400,1.917,0.2,10.22,83.25,82.09,0.406
"22853","03-01-2011",500,20.33,0.3,9.975,83.5,34.4,0.357
"22854","03-01-2011",600,40.42,0.7,10.78,81.17,355.9,0.101
"22855","03-01-2011",700,107,0.3,15.45,65.75,93.57,0.329
"22856","03-01-2011",800,0,0.3,18.34,56.92,113.6,0.251
"22857","03-01-2011",900,0,0.2,20.57,50.92,144.4,0.756
"22858","03-01-2011",1000,0,0.2,22.64,46.5,160.9,0.674
"22859","03-01-2011",1100,0,0.2,25.07,41.92,238.1,1.014
"22860","03-01-2011",1200,0,0.2,26.52,39.5,233.9,1.888
"22861","03-01-2011",1300,0.167,0.2,27.61,36.92,246,2.028
"22862","03-01-2011",1400,8.833,0.1,26.59,38.17,258.9,2.7
"22863","03-01-2011",1500,3.5,0.2,25.22,39.25,255.7,3.217
"22864","03-01-2011",1600,7.75,0.1,23.86,41.25,254.3,3.008
"22865","03-01-2011",1700,0,0.1,22.41,43.67,257.2,3.393
"22866","03-01-2011",1800,0,0.1,20.27,48.42,264.6,4.402
"22867","03-01-2011",1900,3,0.1,18.09,54.5,260.2,3.246
"22868","03-01-2011",2000,2,0.1,15.96,63.92,265.2,2.149
"22869","03-01-2011",2100,2,0.1,14.82,69.5,265.5,1.356
"22870","03-01-2011",2200,3,0.1,14.13,73.42,252.5,1.341
"22871","03-01-2011",2300,0,0.1,13.36,72.5,236.5,1.173
"22872","03-01-2011",0,3,0.1,12.82,70.42,272.8,0.666
"22873","04-01-2011",100,2.083,0.2,12.65,74.5,242.6,0.439
"22874","04-01-2011",200,3,0.1,12.07,76.33,309.2,0.117
"22875","04-01-2011",300,3,0.2,12.22,77,215.8,0.272
"22876","04-01-2011",400,4,0.1,12.57,76,277.4,0.383
"22877","04-01-2011",500,3,0.2,12.9,75.5,111.2,0.227
"22878","04-01-2011",600,3,0.2,12.99,77,152.1,0.392
"22879","04-01-2011",700,6,0.2,15.69,67.58,261.4,0.428
"22880","04-01-2011",800,3.083,0.2,18.2,58.67,238.6,0.844
"22881","04-01-2011",900,2.083,0.2,20.18,50,206.4,0.879
"22882","04-01-2011",1000,7,0.2,21.89,44.75,242.8,1.078
"22883","04-01-2011",1100,3,0.2,23.45,40.33,258,1.454
"22884","04-01-2011",1200,0.583,0.2,24.45,36.33,262.8,1.816
"22885","04-01-2011",1300,0,0.1,24.82,36.42,268.3,2.058
"22886","04-01-2011",1400,0,0.1,25.8,32.33,257.8,1.745
"22887","04-01-2011",1500,0,0.1,25.82,32.5,259.8,1.887
"22888","04-01-2011",1600,9.917,0.1,24.93,38.58,260.6,2.613
"22889","04-01-2011",1700,4.083,0.2,23.5,43.67,267.5,3.283
"22890","04-01-2011",1800,4,0.2,22.52,47.75,266.3,2.7
"22891","04-01-2011",1900,5,0.2,21.14,51.25,272.1,2.223
"22892","04-01-2011",2000,4,0.2,18.91,57.33,277.8,2.102
"22893","04-01-2011",2100,4,0.2,17.59,60.83,268.2,1.031
"22894","04-01-2011",2200,2,0.2,15.93,66.58,226.2,0.781
"22895","04-01-2011",2300,3,0.2,14.66,69.5,199.4,0.246
"22896","04-01-2011",0,3,0.2,13.36,74.5,357.6,0.161
"22897","05-01-2011",100,6,0.2,13.21,74.83,47.52,0.532
"22898","05-01-2011",200,4,0.2,12.54,77.25,69.65,0.503
"22899","05-01-2011",300,4,0.2,11.53,80.25,43.47,0.287
"22900","05-01-2011",400,8,0.2,11.02,81.5,59.41,0.162
"22901","05-01-2011",500,11,0.3,10.67,82.42,61.22,0.415
"22902","05-01-2011",600,15,0.3,11.86,80.25,47.02,0.288
"22903","05-01-2011",700,13,0.3,16.81,65.92,145.1,0.747
"22904","05-01-2011",800,10,0.3,20.16,56.5,115.1,1.144
"22905","05-01-2011",900,6,0.2,22.24,49.67,143.2,1.337
"22906","05-01-2011",1000,7,0.2,24.94,42.08,171.3,1.01
"22907","05-01-2011",1100,11,0.2,27.6,33.58,200.8,1.179
"22908","05-01-2011",1200,9,0.2,29.48,31.08,249.3,1.156
"22909","05-01-2011",1300,9,0.2,31.17,25.33,267.9,1.542
"22910","05-01-2011",1400,8,0.2,32.23,23.58,254.2,1.651
"22911","05-01-2011",1500,7,0.2,31.78,23.58,260.4,1.997
"22912","05-01-2011",1600,9,0.2,30.42,29,257.1,2.585
"22913","05-01-2011",1700,10,0.2,29.14,32.42,257.9,2.089
"22914","05-01-2011",1800,11,0.2,27.17,36.42,258.5,1.82
"22915","05-01-2011",1900,11,0.2,24.99,41,255.1,0.986
"22916","05-01-2011",2000,13,0.2,21.62,49.25,234.5,0.777
"22917","05-01-2011",2100,14,0.3,18.77,58.92,191.5,0.561
"22918","05-01-2011",2200,17,0.3,16.61,65.08,227.3,0.604
"22919","05-01-2011",2300,16,0.3,15.07,70.75,280.6,0.325
"22920","05-01-2011",0,16,0.3,14.65,71.67,321.1,0.372
"22921","06-01-2011",100,13,0.2,13.72,75.17,163.6,0.158
"22922","06-01-2011",200,9,0.2,12.68,79.33,162.4,0.456
"22923","06-01-2011",300,7,0.2,11.65,83.08,315.8,0.053
"22924","06-01-2011",400,12,0.3,11.77,82.67,103.2,0.334
"22925","06-01-2011",500,12,0.3,10.86,84.58,215.9,0.035
"22926","06-01-2011",600,11,0.2,11.43,84.25,190,0.318
"22927","06-01-2011",700,18,0.3,14.82,73,211.3,0.671
"22928","06-01-2011",800,18,0.3,17.96,64.08,242.9,1.11
"22929","06-01-2011",900,20,0.3,20.08,59.42,226.3,1.696
"22930","06-01-2011",1000,22,0.3,22.76,54.08,225.8,2.134
"22931","06-01-2011",1100,20,0.3,25.65,45.33,239.7,1.857
"22932","06-01-2011",1200,20,0.2,26.31,43.42,249.1,2.171
"22933","06-01-2011",1300,20,0.2,26.76,43.42,249.1,2.463
