"","P","A"
"1",13,9.87969953757875
"2",13,14.6687489658877
"3",14,16.6441656217897
"4",14,16.8856907120335
"5",15,17.502656119133
"6",15,16.7704526273725
"7",12,16.2165892663271
"8",13,12.9877820039567
"9",27,13.0836175615409
"10",34,23.9318362355986
"11",35,29.5400552796092
"12",43,33.7418462938471
"13",55,47.2938242806151
"14",41,61.3195857622213
"15",28,33.6835488045749
"16",20,20.3462942128411
"17",17,20.2743195450607
"18",14,19.1677889199226
"19",15,14.4148968767985
"20",11,13.3857171426161
"21",10,10.0873079503119
"22",10,9.83661431923868
"23",16,9.77868479906959
"24",13,12.7616852839854
"25",14,14.6141615693655
"26",12,14.4878292906558
"27",11,15.7898767804089
"28",10,15.1203128163152
"29",10,10.7872348711742
"30",10,12.7054630593392
"31",10,12.4534337969968
"32",12,11.6620973808479
"33",11,13.6664783274187
"34",13,13.8225790232858
"35",19,15.9191587724726
"36",20,21.3975276994953
"37",30,25.42372291152
"38",50,35.0867201413215
"39",37,44.7388496305357
"40",15,29.1331247604993
"41",13,15.5898542748157
"42",13,13.8649612827771
"43",16,11.427788815588
"44",14,13.5143839998963
"45",14,11.7017465777219
"46",12,10.6303658985863
"47",10,10.95367053208
"48",10,9.23076802526536
"49",9,10.896048845042
"50",9,11.9010778659394
"51",9,10.9579338622227
"52",8,9.20369833848486
"53",8,11.1826091961975
"54",8,9.1959309756226
"55",13,11.9012243663968
"56",8,16.348423969972
"57",9,7.30829013736266
"58",11,9.89964963918058
"59",12,14.3975959610525
"60",19,15.0008150766552
"61",27,26.2831261827357
"62",21,35.9916940821336
"63",23,21.8683552389455
"64",22,19.8335890314115
"65",18,21.3206227269334
"66",15,19.8014169895768
"67",15,14.6969714346138
"68",13,13.4200709762722
"69",14,12.8620587104979
"70",16,12.1220236653542
"71",16,12.7962439644413
"72",14,14.0216937732183
"73",14,12.8209859888826
"74",16,14.4698472988464
"75",13,17.0621259809991
"76",14,13.7084049087556
"77",13,15.5525519558729
"78",13,15.7344104439176
"79",14,15.6920074282147
"80",13,15.9321661493533
"81",14,13.8260195881471
"82",17,16.5440588142388
"83",20,17.5870172641586
"84",33,22.0611094619266
"85",43,38.1349006411202
"86",39,50.6999958900689
"87",40,39.1839578688188
"88",38,31.0018781705486
"89",36,32.3600333104146
"90",33,32.6123729256526
"91",20,31.1384441762362
"92",18,22.234757572737
"93",15,15.4232611608904
"94",14,13.1723645723039
"95",15,12.1314762263451
"96",19,13.4383697896721
"97",23,19.342695836669
"98",27,23.3179397873715
"99",26,26.1885866085101
"100",28,29.8234126387022
"101",27,27.3017765679709
"102",28,27.3034785547457
"103",28,28.2439144376991
"104",31,27.8847446849045
"105",34,30.694462528712
"106",32,32.5969195511882
"107",34,33.0907663031943
"108",45,35.6565482022201
"109",51,42.0553848359897
"110",58,50.6026419500851
"111",48,56.4037373688607
"112",35,38.1784041745615
"113",32,34.3747717548214
"114",28,30.3247532561575
"115",21,25.963638564374
"116",26,22.288975225811
"117",21,21.7197782368069
"118",21,19.5512590090927
"119",21,18.0425132799812
"120",23,19.5356167473915
"121",26,22.14268422771
"122",26,26.0201906030701
"123",24,28.3822913633081
"124",25,30.0579165633493
"125",25,26.4462839548319
"126",26,28.078756052481
"127",26,26.5445530796597
"128",23,25.5292456727964
"129",24,23.0593835294134
"130",23,26.488140749878
"131",22,24.9608639567382
"132",24,23.0123504280787
"133",30,24.6521108934128
"134",29,30.5280572684904
"135",33,27.9182689970122
"136",35,33.3320090114271
"137",35,35.4540754241229
"138",34,32.7209315117944
"139",27,32.1703913477965
"140",23,26.8169922343202
"141",20,20.1367187799178
"142",15,15.8876386323289
"143",13,12.834116869256
"144",14,13.1516393312977
"145",15,13.0054662178515
"146",10,15.3968936308961
"147",9,12.0866867445289
"148",9,8.59429986819364
"149",9,9.46810219928503
"150",12,11.6238010423797
"151",10,14.2623856462258
"152",11,10.87468173955
"153",12,13.2893716918594
"154",17,12.7344139559281
"155",14,18.9154251511433
"156",29,20.0616331443076
"157",54,32.527575169896
"158",43,57.9879904159669
"159",39,41.9418380693823
"160",28,30.6362843083452
"161",23,22.7410165777642
"162",8,20.9918035274376
"163",5,9.74666677598609
"164",4,6.28215042710555
"165",6,4.63936576122271
"166",7,4.768088826278
"167",5,7.09916234549415
"168",9,5.97299092586954
"169",8,9.3576886973927
"170",8,8.31275290511596
"171",7,8.25928073193668
"172",4,7.97234639938503
"173",5,7.08479293096069
"174",12,9.75168337786203
"175",10,11.5289673001871
"176",11,11.9960844580412
"177",10,13.4607651363074
"178",15,12.8749332582099
"179",16,18.5853798989864
"180",35,20.0973323625303
"181",33,40.1833440098984
"182",29,38.3348975328504
"183",20,27.5317928787544
"184",12,14.0695570302368
"185",11,10.6397956134631
"186",10,11.9114534507586
"187",14,11.4428560157957
"188",9,11.9743282934137
"189",16,8.9043233301037
"190",12,12.5548730289896
"191",12,11.2297370443007
"192",18,12.0776358914271
"193",24,20.1556685183128
"194",31,33.9542012417294
"195",16,31.1116740297401
"196",20,19.3063055933119
"197",24,24.1916690599054
"198",27,22.851551342348
"199",33,29.0483774299008
"200",32,31.4044511767654
"201",28,29.1662033537299
"202",19,27.0396209586888
"203",21,20.0425973644291
"204",42,25.6129601014441
"205",53,46.3564309004577
"206",57,62.833540285956
"207",38,55.297487081505
"208",28,29.3663784279823
"209",20,20.0895036230572
"210",16,18.4786137314414
"211",11,12.6734821429737
"212",13,8.4160223304536
"213",19,9.47406475287526
"214",20,16.7659839377604
"215",14,19.189222082652
"216",13,13.696213343421
"217",13,13.5511509186547
"218",9,14.7043514608627
"219",7,8.57051996199601
"220",7,6.18083584627283
"221",5,7.48368234661342
"222",7,8.24519428284984
"223",8,10.2554974275801
"224",7,9.20464806416803
"225",9,8.61319589062365
"226",9,9.75486219721297
"227",16,10.9197341235238
"228",24,19.3896216770734
"229",27,27.5184729655077
"230",28,31.1469425018565
"231",31,27.5234464343718
"232",24,25.2937610219215
"233",25,21.2795018769783
"234",17,22.2900887528246
"235",12,16.2966049291687
"236",14,10.8330084441693
"237",21,15.3779730551534
"238",17,17.1694700216339
"239",8,13.4286158460637
"240",9,9.48592979184386
"241",16,11.2253467965812
"242",17,16.0778409967552
"243",16,17.5509738483419
"244",15,17.1290895173703
