"","P","A"
"1",13,10.5788901779185
"2",13,13.2527230237294
"3",14,14.2330778852527
"4",14,16.5725767263373
"5",15,17.9126277749453
"6",15,16.5555141694117
"7",12,14.7859130592314
"8",13,12.4250449544041
"9",27,14.4687029267015
"10",34,28.2160521019553
"11",35,31.5488152510496
"12",43,39.5247521119945
"13",55,48.729303707041
"14",41,54.7710415526931
"15",28,34.2807790464154
"16",20,18.6125743337252
"17",17,17.8929313535671
"18",14,15.9436165522462
"19",15,11.5768929574734
"20",11,11.8419137404827
"21",10,9.7129506943063
"22",10,11.2480474878557
"23",16,12.4161699923063
"24",13,13.7811058259661
"25",14,13.6804919639976
"26",12,13.2416308328356
"27",11,12.4156429982518
"28",10,12.932773897002
"29",10,11.6073827826552
"30",10,9.24507074689187
"31",10,9.91875791396782
"32",12,10.6757558695114
"33",11,13.3026932998276
"34",13,11.6996001121389
"35",19,18.584475528502
"36",20,24.460576325792
"37",30,25.0895155805318
"38",50,35.2766894685217
"39",37,36.9734110762614
"40",15,19.7037101516968
"41",13,15.4850594752187
"42",13,12.8173997923458
"43",16,9.87298990828138
"44",14,11.596975066567
"45",14,6.58291566168501
"46",12,11.7191535591285
"47",10,11.5798697357966
"48",10,10.6588677956021
"49",9,9.82924930192867
"50",9,10.6866523469086
"51",9,8.25507410600571
"52",8,7.66531327782452
"53",8,9.3471383652797
"54",8,6.02127717924964
"55",13,9.9231330211027
"56",8,14.7164530557924
"57",9,10.9329414315631
"58",11,11.6544753092574
"59",12,13.206043151147
"60",19,15.7386089251989
"61",27,28.6938707394528
"62",21,32.6257978763434
"63",23,22.7631854818666
"64",22,18.1701072920574
"65",18,20.3626993698247
"66",15,17.8210933215487
"67",15,12.9441207057787
"68",13,11.7059249165758
"69",14,12.2693570378068
"70",16,12.247231491206
"71",16,14.7068482333969
"72",14,13.6196601765786
"73",14,13.3485566170754
"74",16,13.1076816589862
"75",13,14.9933092389423
"76",14,12.7170350777434
"77",13,14.0700609749825
"78",13,13.5394349136099
"79",14,14.3235659794772
"80",13,15.2831351321362
"81",14,13.8424418602475
"82",17,17.2170432704568
"83",20,21.3108445754543
"84",33,26.9203145436988
"85",43,43.5401139296883
"86",39,46.2031712932155
"87",40,39.5171622618158
"88",38,30.2535819031743
"89",36,30.6774202648613
"90",33,28.7404983699287
"91",20,28.4861300631733
"92",18,20.8936141540585
"93",15,20.6583961106813
"94",14,15.7777167880228
"95",15,14.3759086031541
"96",19,16.2054400926313
"97",23,18.6564146806534
"98",27,21.4677391108168
"99",26,23.8858137963593
"100",28,26.7423010732485
"101",27,26.7540979138805
"102",28,27.8071270775102
"103",28,32.5390321625817
"104",31,31.9289383876803
"105",34,32.3544478870725
"106",32,37.3118955715385
"107",34,36.6342999527887
"108",45,38.6365180413531
"109",51,51.2985680989082
"110",58,49.4209031095174
"111",48,47.6687652103954
"112",35,37.6483282567521
"113",32,34.4395932187342
"114",28,29.4806853680007
"115",21,25.5737368929863
"116",26,20.7442646557273
"117",21,22.1963040909757
"118",21,22.4229436182628
"119",21,20.354679255026
"120",23,21.3279555526815
"121",26,22.4742336081576
"122",26,26.3824848834197
"123",24,26.0526791953249
"124",25,25.6255891027121
"125",25,26.2942113191892
"126",26,23.1398287256801
"127",26,29.4810077244261
"128",23,28.4269446618896
"129",24,23.5995724094546
"130",23,26.5811737226256
"131",22,29.4214323840237
"132",24,27.2088468609259
"133",30,32.4530401098228
"134",29,31.598467491379
"135",33,27.5474606539532
"136",35,31.3134700188661
"137",35,36.2210433713413
"138",34,32.5906629806743
"139",27,32.7590616339148
"140",23,26.437239348995
"141",20,24.1736596805976
"142",15,18.9128417341165
"143",13,14.1555277214197
"144",14,13.6450659111928
"145",15,15.2968449618589
"146",10,13.2001706775709
"147",9,10.0492143999255
"148",9,8.70650353267679
"149",9,7.13420994355024
"150",12,9.19146748337182
"151",10,14.26836482712
"152",11,10.3465958512576
"153",12,14.193185184991
"154",17,14.3076367275701
"155",14,18.8569110467468
"156",29,18.1641333065867
"157",54,37.534295716595
"158",43,52.8371700642657
"159",39,37.803318663893
"160",28,32.4863415222797
"161",23,23.932392138191
"162",8,19.9460906310409
"163",5,8.79221872625602
"164",4,7.06750617328226
"165",6,0.454029312650666
"166",7,5.44058889925164
"167",5,9.49989847619116
"168",9,7.33304125324356
"169",8,11.1002302809093
"170",8,7.02757369638573
"171",7,5.67738348674511
"172",4,5.78726529132986
"173",5,7.81100214242027
"174",12,6.21047808424354
"175",10,10.7984880469333
"176",11,9.86963963423838
"177",10,12.0602040134474
"178",15,12.6912838530671
"179",16,16.1496412933148
"180",35,20.4668044978101
"181",33,39.870351452537
"182",29,42.450474000866
"183",20,30.8123619709558
"184",12,14.0289835650555
"185",11,12.2817205219729
"186",10,9.78315890242994
"187",14,7.95445934696376
"188",9,10.8618676279858
"189",16,3.52127895406326
"190",12,14.9012949028394
"191",12,13.0438389827176
"192",18,17.4169806163148
"193",24,20.7437593400048
"194",31,30.2914280317819
"195",16,32.822560020498
"196",20,21.2342991874895
"197",24,27.5713498623055
"198",27,27.128166053963
"199",33,27.064934036571
"200",32,31.2581129557261
"201",28,27.9708918150198
"202",19,26.4219254659299
"203",21,21.2900296862599
"204",42,30.2790211006992
"205",53,49.8514832014281
"206",57,56.1570737092778
"207",38,47.3144605061409
"208",28,30.3032268434994
"209",20,23.3454019242269
"210",16,17.8989916314353
"211",11,12.3937598082024
"212",13,8.51178353426503
"213",19,3.238483342253
"214",20,17.6903628498652
"215",14,18.5096781372103
"216",13,17.2171576703594
"217",13,15.3238714898155
"218",9,12.5234530300297
"219",7,7.93055704627037
"220",7,3.60845525872442
"221",5,2.05992016168684
"222",7,5.59870990054683
"223",8,5.8143064682246
"224",7,6.72980644006011
"225",9,5.45435077709427
"226",9,6.91682249032288
"227",16,10.7206076209984
"228",24,23.336515896717
"229",27,27.0457523550486
"230",28,32.5508804104738
"231",31,25.4234325173695
"232",24,22.8626174692488
"233",25,21.7047200950971
"234",17,19.9871080047294
"235",12,15.5964342486601
"236",14,10.1290533638504
"237",21,9.81745824816905
"238",17,18.2392715544162
"239",8,15.3985216467599
"240",9,11.3692487870049
"241",16,11.6811885238299
"242",17,16.2687320738163
"243",16,16.0281500527151
"244",15,16.5366680836519
"245",17,16.1543844392764
"246",20,15.6369021531012
"247",20,24.9456876189862
"248",22,22.8133649962089
"249",31,23.4921496819541
"250",22,32.1338410394166
"251",24,24.4981372619673
"252",30,30.9110410705662
"253",49,43.0187515374999
"254",51,46.7847231273401
"255",35,41.0031630538103
"256",32,25.1905552006006
"257",24,27.1496499920013
"258",29,20.0042274474057
"259",19,23.7353570630521
"260",19,17.6443928732752
"261",23,20.8428461854388
"262",18,22.1415928355249
"263",9,20.3849736707035
"264",13,19.7978532661987
"265",25,21.4111978806834
"266",23,30.4649138208728
"267",25,31.1498155567001
"268",57,30.4603505605113
"269",41,54.5414665804065
"270",43,43.154264634681
"271",49,45.1850808668812
"272",60,45.4406642778227
"273",60,49.6049542234964
"274",54,53.2162832495927
"275",46,50.221638835492
"276",38,45.7918605550435
"277",40,56.1603814564229
"278",40,49.5886529756731
"279",36,39.7893747614579
"280",26,26.4255203168756
"281",16,22.5885644502695
"282",20,16.571189546407
"283",21,16.2649592780594
"284",10,14.3421992742409
"285",8,5.51511368147129
"286",2,10.0334113566359
"287",1,7.17219467058985
"288",10,7.35994511092702
"289",11,14.3522273048949
"290",19,18.7777360232295
"291",31,23.5736019480509
"292",40,40.9990097684673
"293",26,49.2881819482596
"294",29,35.63228730666
"295",41,33.5639110426392
"296",57,39.3772681047058
"297",63,50.0291440507
"298",48,52.4319541869132
"299",33,43.0917856184801
"300",32,36.1712186069918
"301",30,40.6407540534623
"302",32,39.0395687461071
"303",24,32.992327040414
"304",33,15.1293866224891
"305",16,21.2855745737566
"306",6,11.0639169184989
"307",11,3.59489232752214
"308",10,8.43126685965193
"309",9,3.35266715433717
"310",9,12.1501126678738
"311",5,11.3131000384411
"312",5,10.1785806987839
"313",15,9.44239960654866
"314",10,18.2530638592877
"315",13,13.6429841182151
"316",15,18.7025334114172
"317",19,22.2312791282237
"318",17,23.0480800789786
"319",20,18.0457585759549
"320",17,18.1191476820941
"321",19,16.3261192529953
"322",18,17.8053660053294
"323",24,19.042516904165
"324",27,31.464618536468
"325",43,42.6924921467875
"326",76,48.3401615369532
"327",53,57.7108840335899
"328",37,35.9992004711268
"329",23,24.5736077449339
"330",18,16.9029659934331
"331",23,14.8523936099458
"332",19,18.0685852253213
"333",14,15.0517165450203
"334",16,15.532591314949
"335",21,15.3559463137602
"336",21,21.712855272984
"337",23,20.3167193306951
"338",28,24.4566656767924
"339",36,28.8569870917962
"340",34,35.8731148760773
"341",22,35.2585385795926
"342",23,26.046814192193
"343",29,25.069186389827
"344",34,28.9490900080154
"345",28,33.9563951110447
"346",22,26.8048977845555
"347",27,26.1771621185818
"348",37,36.1856938967914
"349",51,49.3189115475833
"350",80,65.2941370692497
"351",56,65.9558199050651
"352",37,40.5301651264686
"353",29,29.8650492761993
"354",22,23.5954940059
"355",17,19.5673800045386
"356",25,17.4266415836461
"357",13,17.2158251127107
"358",23,16.8349231262605
"359",28,19.6016262809473
"360",28,25.8278352203708
"361",21,20.5966969987962
"362",20,16.1217411819314
"363",17,15.7537661795228
"364",13,11.873234242686
"365",9,8.96582531619298
"366",11,11.2890773171451
"367",9,11.6129431213176
"368",11,8.76948591955154
"369",8,11.6521925030614
"370",9,10.4925173086063
"371",16,12.2954305036069
"372",21,19.6132410664657
"373",23,28.7814226814108
"374",27,31.6461689262658
"375",41,30.1462048884401
"376",42,30.6521407483621
"377",38,33.6208780129804
"378",38,26.9374750527204
"379",26,29.7088136324789
"380",24,21.6090893483453
"381",26,21.676855678123
"382",19,21.8979439766008
"383",15,17.0264370384217
"384",16,14.658580393882
