"","P","A"
"1",13,9.94418711429392
"2",13,14.2124842035113
"3",14,13.8343850542495
"4",14,15.8483929236854
"5",15,16.3776442704633
"6",15,15.9391602382012
"7",12,14.3974569828008
"8",13,13.6002121135353
"9",27,14.5718834525711
"10",34,28.7442324288099
"11",35,31.572330118938
"12",43,36.3514585950892
"13",55,38.245538408754
"14",41,51.6369786701819
"15",28,35.2321479128451
"16",20,23.3248915919264
"17",17,17.7871148216114
"18",14,17.5214524351789
"19",15,16.2075194144217
"20",11,13.7725345207306
"21",10,11.7947502609664
"22",10,11.5868904260069
"23",16,11.3597665442973
"24",13,14.746894775286
"25",14,13.5590679973433
"26",12,14.8752231590435
"27",11,24.9277769146337
"28",10,13.959788935475
"29",10,12.3057088076303
"30",10,11.7526060331107
"31",10,11.7990202451689
"32",12,11.98892873148
"33",11,12.7373740608356
"34",13,14.8914375845841
"35",19,16.4538723399323
"36",20,20.0588983016555
"37",30,22.7057465009071
"38",50,35.3935933961903
"39",37,39.5427744707221
"40",15,27.3149416954012
"41",13,17.2550344489162
"42",13,13.2462015605697
"43",16,13.3813104226217
"44",14,15.1200929484795
"45",14,13.9798726828036
"46",12,12.7577931940297
"47",10,13.0170883904453
"48",10,10.5407508116398
"49",9,11.6896757761865
"50",9,11.3161066259881
"51",9,9.8940638556363
"52",8,9.66093780612268
"53",8,24.9378175242707
"54",8,9.1259357202745
"55",13,9.82355541181717
"56",8,15.4663391835709
"57",9,9.95232022288197
"58",11,10.3444064989259
"59",12,13.4225260600081
"60",19,14.3052842130211
"61",27,24.6035395916585
"62",21,33.2684638774153
"63",23,25.2588584315603
"64",22,22.7784020129601
"65",18,17.8811073364551
"66",15,16.4438710560626
"67",15,13.7459718174351
"68",13,13.4575898372503
"69",14,12.953253713097
"70",16,13.4000112750598
"71",16,12.3092973362934
"72",14,14.2174820806191
"73",14,12.8462931103508
"74",16,12.7639606718825
"75",13,14.1837404550118
"76",14,12.6673688508937
"77",13,13.8869804170564
"78",13,12.3825042126784
"79",14,15.8739051436995
"80",13,17.4188670926345
"81",14,14.2770909036505
"82",17,15.6768557630416
"83",20,19.7237493555235
"84",33,22.9325968851751
"85",43,32.2887651239046
"86",39,46.2071637221739
"87",40,44.5243187269822
"88",38,32.1068627497631
"89",36,28.3454256912363
"90",33,26.4103455629186
"91",20,27.2707395035639
"92",18,20.658164589617
"93",15,17.711209744763
"94",14,16.0630722856682
"95",15,14.0899688823552
"96",19,15.1368160598134
"97",23,18.5532800164915
"98",27,20.619190420481
"99",26,23.4067940862748
"100",28,25.0947736530068
"101",27,24.1588031604069
"102",28,26.9167146590908
"103",28,28.8125717981732
"104",31,31.2542782787702
"105",34,32.6362396448756
"106",32,33.9961436617231
"107",34,35.0744449596539
"108",45,35.2302810805669
"109",51,45.3613665837716
"110",58,56.8137931210555
"111",48,49.9529209364893
"112",35,40.725666602833
"113",32,34.8275008184122
"114",28,27.4849618548485
"115",21,27.0056959548291
"116",26,22.4384069596805
"117",21,23.2876123276441
"118",21,22.1176599616352
"119",21,19.9378097641932
"120",23,20.6329126792504
"121",26,19.7665165924041
"122",26,25.2529058465639
"123",24,24.9485147902291
"124",25,23.1255822859158
"125",25,24.6904364507359
"126",26,19.8164160232967
"127",26,25.3012734893023
"128",23,22.8568696580108
"129",24,21.9441810034491
"130",23,24.4592991423064
"131",22,24.3320399431935
"132",24,29.1891851008983
"133",30,25.3994345805657
"134",29,29.9159193421018
"135",33,27.9431773229076
"136",35,30.5145587524363
"137",35,31.1277636146066
"138",34,24.9744220107054
"139",27,26.822171842708
"140",23,24.2265458992583
"141",20,19.8047348849943
"142",15,18.1944573343526
"143",13,14.1413695577348
"144",14,24.9768411898799
"145",15,13.2118028505974
"146",10,15.143458768203
"147",9,11.0427045661451
"148",9,9.23550652267311
"149",9,8.42692970397032
"150",12,12.0924787127026
"151",10,15.1319713094486
"152",11,11.5436014104787
"153",12,16.6411326266923
"154",17,14.1163789160814
"155",14,18.6306573369797
"156",29,17.445823895124
"157",54,32.6731002563284
"158",43,50.0287108311275
"159",39,45.4478331096063
"160",28,34.1300194676687
"161",23,25.2140808213372
"162",8,20.5315888254433
"163",5,11.7481559192913
"164",4,8.99553221964109
"165",6,7.47501130270219
"166",7,7.76583581605518
"167",5,8.25856076912699
"168",9,7.21661403844183
"169",8,9.71288414992012
"170",8,7.65972073636576
"171",7,8.48800459229992
"172",4,24.9765957657842
"173",5,9.05520652667793
"174",12,7.31480262815272
"175",10,24.9759044075394
"176",11,9.94338004055918
"177",10,12.2925521949165
"178",15,13.1173759242045
"179",16,16.8209565883795
"180",35,18.0796027161945
"181",33,37.4377088469986
"182",29,38.8029574695263
"183",20,32.4448097693998
"184",12,15.1122263438139
"185",11,13.70493978856
"186",10,11.4738078529757
"187",14,9.3322131197553
"188",9,11.5133111522783
"189",16,9.50080039362544
"190",12,15.2671034333048
"191",12,24.9752295948375
"192",18,14.7847813010081
"193",24,18.5811543606739
"194",31,27.072404718339
"195",16,26.992889796963
"196",20,20.737623961193
"197",24,25.8911896910754
"198",27,26.2814931672108
"199",33,27.6639513410153
"200",32,32.6906698958326
"201",28,30.2888742922535
"202",19,28.2027510005038
"203",21,22.2788191777987
"204",42,24.3904558596746
"205",53,42.579598970415
"206",57,51.1283243317018
"207",38,51.6395327939487
"208",28,31.3167256902788
"209",20,23.2144476058374
"210",16,18.8513187797139
"211",11,15.7769310337262
"212",13,13.1816500983839
"213",19,11.2948451793203
"214",20,16.8217900214215
"215",14,19.0180440407624
"216",13,13.5286706175167
"217",13,14.1091222700878
"218",9,14.0889273990961
"219",7,10.3905928677967
"220",7,8.88753367321775
"221",5,6.38588808054802
"222",7,5.01942997693914
"223",8,8.777839019954
"224",7,9.48572641441469
"225",9,5.60664172524404
"226",9,8.41851761928614
"227",16,11.5754723375342
"228",24,18.4711209456706
"229",27,27.7229461865475
"230",28,29.0929670430398
"231",31,24.9879629704988
"232",24,25.5195183008672
"233",25,20.4948176772654
"234",17,22.9853113751326
"235",12,15.8090683743462
"236",14,11.3500617541152
"237",21,14.7983052953473
"238",17,17.4259609338912
"239",8,15.1216499454903
"240",9,9.6455037599723
"241",16,12.6119712373291
"242",17,15.1073047906647
"243",16,15.6177562267233
"244",15,17.3073052343063
"245",17,14.5294059180048
"246",20,16.8105673040224
"247",20,22.6395015207079
"248",22,18.0706455613166
