"","PMhd","diasFriday","diasMonday","diasSaturday","diasSunday","diasThursday","diasTuesday","diasWednesday","PMhd7","PMh1d","PMmax","CO","Temp","Hum","N","E","S","O","FECHA","HORA","CERRILLOS","INDEPENDENCIA","CONDES","ELBOSQUE","PARQUE","TALAGANTE","QUILICURA","PUDAHUEL","CERRONAVIA","LAFLORIDA","PUENTEALTO","hour"
"17688",12,0,0,9,0,0,0,0,9,16,0,0.4,17.42,73.5,0,0,1.946,0,"06-01-2013",0,4,4,13,8,4,5,18,3,5,8,11,1
"17689",14,0,0,10,0,0,0,0,7,12,16,0.3,16.64,77.17,0,0,1.962,0,"07-01-2013",100,8,6,6,18,7,4,12,5,6,20,17,2
"17690",13,0,0,10,0,0,0,0,7,14,16,0.3,15.87,80.83,0,0,1.87,0,"07-01-2013",200,7,8,9,19,7,4,10,4,6,11,18,3
"17691",14,0,0,15,0,0,0,0,8,13,16,0.3,14.98,85.33,0,0,1.686,0,"07-01-2013",300,5,5,12,15,10,4,8,4,5,11,17,4
"17692",15,0,0,20,0,0,0,0,10,14,16,0.3,14.84,60.25,0,0,1.408,0,"07-01-2013",400,6,13,8,11,9,5,9,6,7,9,20,5
"17693",26,0,0,27,0,0,0,0,12,15,16,0.3,14.52,87.33,0,0,0.9601,0,"07-01-2013",500,8,8,7,13,7,6,11,6,8,13,24,6
"17694",32,0,0,27,0,0,0,0,16,26,26,0.5,15.74,82.5,0,0,0,0.2185,"07-01-2013",600,11,9,7,17,12,13,14,9,11,16,24,7
"17695",29,0,0,23,0,0,0,0,13,32,32,0.5,18.8,69.25,0,0,0.6393,0,"07-01-2013",700,12,11,7,14,12,11,14,12,12,13,21,8
"17696",40,0,0,28,0,0,0,0,19,29,32,0.4,20.62,62.67,0,0,1.056,0,"07-01-2013",800,12,16,10,13,16,11,13,10,12,10,23,9
"17697",38,0,0,24,0,0,0,0,40,40,40,0.4,23.02,54.17,0,0,1.21,0,"07-01-2013",900,16,14,11,11,18,13,15,13,12,13,23,10
"17698",33,0,0,20,0,0,0,0,34,38,40,0.3,24.95,48.83,0,0,1.813,0,"07-01-2013",1000,29,16,15,22,21,12,16,14,14,16,47,11
"17699",24,0,0,21,0,0,0,0,26,33,40,0.3,26.88,43.75,0,0,2.462,0,"07-01-2013",1100,15,21,17,10,28,16,20,19,20,23,35,12
